FREQ,TIME_FORMAT,TIME_PERIOD,STK_FLOW,UNIT,PARTNER,GEO,OBS_STATUS,OBS_VALUE,FREQ_DESC,TIME_FORMAT_DESC,TIME_PERIOD_DESC,OBS_STATUS_DESC,STK_FLOW_DESC,UNIT_DESC,PARTNER_DESC,GEO_DESC
A,P1Y,2007,EXP,PC_TOT,INT_EU28,LU,,34.4,Annual,Annual,Year 2007,No data,Exports,Percentage of total,Intra-EU-28,Luxembourg
A,P1Y,2007,EXP,PC_TOT,INT_EU28,LV,,3.3,Annual,Annual,Year 2007,No data,Exports,Percentage of total,Intra-EU-28,Latvia
A,P1Y,2007,EXP,PC_TOT,INT_EU28,MT,,33,Annual,Annual,Year 2007,No data,Exports,Percentage of total,Intra-EU-28,Malta
A,P1Y,2007,EXP,PC_TOT,INT_EU28,NL,,17.8,Annual,Annual,Year 2007,No data,Exports,Percentage of total,Intra-EU-28,Netherlands
A,P1Y,2007,EXP,PC_TOT,INT_EU28,PL,,2.7,Annual,Annual,Year 2007,No data,Exports,Percentage of total,Intra-EU-28,Poland
A,P1Y,2007,EXP,PC_TOT,INT_EU28,PT,,2.5,Annual,Annual,Year 2007,No data,Exports,Percentage of total,Intra-EU-28,Portugal
A,P1Y,2007,EXP,PC_TOT,INT_EU28,SE,,9.7,Annual,Annual,Year 2007,No data,Exports,Percentage of total,Intra-EU-28,Sweden
A,P1Y,2007,EXP,PC_TOT,INT_EU28,SI,,3.1,Annual,Annual,Year 2007,No data,Exports,Percentage of total,Intra-EU-28,Slovenia
A,P1Y,2007,EXP,PC_TOT,INT_EU28,SK,,4.8,Annual,Annual,Year 2007,No data,Exports,Percentage of total,Intra-EU-28,Slovakia
A,P1Y,2007,EXP,PC_TOT,INT_EU28,UK,,14.1,Annual,Annual,Year 2007,No data,Exports,Percentage of total,Intra-EU-28,United Kingdom
A,P1Y,2007,EXP,PC_TOT,WORLD,AT,,11.1,Annual,Annual,Year 2007,No data,Exports,Percentage of total,All countries of the world,Austria
A,P1Y,2007,EXP,PC_TOT,WORLD,BE,,6.6,Annual,Annual,Year 2007,No data,Exports,Percentage of total,All countries of the world,Belgium
A,P1Y,2007,EXP,PC_TOT,WORLD,CY,,14.6,Annual,Annual,Year 2007,No data,Exports,Percentage of total,All countries of the world,Cyprus
A,P1Y,2007,EXP,PC_TOT,WORLD,CZ,,14.1,Annual,Annual,Year 2007,No data,Exports,Percentage of total,All countries of the world,Czechia
A,P1Y,2007,EXP,PC_TOT,WORLD,DE,,13,Annual,Annual,Year 2007,No data,Exports,Percentage of total,All countries of the world,Germany
A,P1Y,2007,EXP,PC_TOT,WORLD,DK,,11.7,Annual,Annual,Year 2007,No data,Exports,Percentage of total,All countries of the world,Denmark
A,P1Y,2007,EXP,PC_TOT,WORLD,EE,,7.8,Annual,Annual,Year 2007,No data,Exports,Percentage of total,All countries of the world,Estonia
A,P1Y,2007,EXP,PC_TOT,WORLD,EL,,4.2,Annual,Annual,Year 2007,No data,Exports,Percentage of total,All countries of the world,Greece
A,P1Y,2007,EXP,PC_TOT,WORLD,ES,,4.2,Annual,Annual,Year 2007,No data,Exports,Percentage of total,All countries of the world,Spain
